                               -0,50813411 -0,50305856     -0,606447
                                0,47071037 -0,51368403     -0,605823
                                0,50216007  0,4539054      -0,604639
40 0,20 1,10 20 4,074187 4
                                0,51868471 -0,51949247     -0,605658
                               -0,51306713  0,50975222     -0,606214
                                0,47066974  0,49259655     -0,605557
                               -0,48540868 -0,5352259      -0,605522
40 0,20 1,10 20 4,064536 4
                                0,49105844  0,53652849     -0,605447
                               -0,51212501 -0,51363089     -0,606131
                               -0,49940206  0,48427791     -0,606299
                                0,5060592  -0,50654971     -0,606435
40 0,20 1,10 20 4,086668 4
                                0,51233273 -0,45891051     -0,605160
                               -0,44523239 -0,51466286     -0,604085
                                0,49289931  0,4951455      -0,606442
                               -0,46483067  0,49148325     -0,605142
40 0,20 1,10 20 4,091149 4
                               -0,53822319  0,46753483     -0,604997
                                0,51093063 -0,47902093     -0,606161
                                0,48640962  0,48501132     -0,606030
                               -0,52385277 -0,47988294     -0,605936
40 0,20 1,10 20 4,080735 4
                               -0,47927375 -0,50095121     -0,606149
                               -0,52762097  0,47736971     -0,605750
                                0,50358651 -0,46228817     -0,605300
                                0,50373106  0,49815104     -0,606519
40 0,20 1,10 20 3,611247 4
                                0,54006339  0,45684658     -0,604428
                               -0,50995843 -0,51327126     -0,606203
                               -0,47256691  0,414178       -0,597464
                                0,49955373 -0,51175305     -0,606408
40 0,20 1,10 20 3,540725 4
                                0,49369672  0,46173595     -0,605000
                               -0,52418992  0,53614287     -0,604326
                               -0,48770526 -0,50562622     -0,606406
                                0,46968476 -0,46880432     -0,604191
40 0,20 1,10 20 3,552259 4
                                0,50572175 -0,54275759     -0,604714
                                0,49407701  0,49209961     -0,606413
                               -0,54117496  0,49652315     -0,605076
                               -0,48442237 -0,50875257     -0,606323
40 0,20 1,10 20 3,992651 4
                                0,4630601   0,46413752     -0,603242
                               -0,50608025  0,49008337     -0,606444
                               -0,49709025 -0,52861128     -0,605832
                                0,53141656 -0,50312908     -0,605573
40 0,20 1,10 20 5,172416 4
                               -0,46346659 -0,51058288     -0,605446
                                0,5125461   0,52870435     -0,605434
                                0,47186935 -0,5491178      -0,604459
                               -0,48288766  0,5538811      -0,604196
40 0,20 1,10 20 4,334536 4
                                0,49270124 -0,50301769     -0,606487
                                0,48584601  0,49350816     -0,606253
                               -0,4616513   0,51619573     -0,605330
                               -0,49334493 -0,51560342     -0,606332
40 0,20 1,10 20 4,931731 4
                               -0,51484699 -0,48832992     -0,606311
                                0,51497679  0,47933782     -0,606126
                                0,51601076 -0,49778917     -0,606315
                               -0,51322209  0,49619698     -0,606389
40 0,20 1,10 20 3,979377 4
                               -0,49401245 -0,43389792     -0,602218
                                0,49105442  0,51781504     -0,606266
                               -0,51178898  0,49462661     -0,606416
                                0,44963139 -0,58677035     -0,600068
40 0,20 1,10 20 4,002633 4
                                0,47928116 -0,52609593     -0,605849
                               -0,4729061  -0,50871441     -0,605936
                                0,47465596  0,51482834     -0,605974
                               -0,48407873  0,51005192     -0,606305
40 0,20 1,10 20 4,844081 4
